user,text
DerRoman77,RT @petri_co_il: New Petri Post! 'What is @Microsoft @Azure Stack?' (by @joe_elway) - http://t.co/LPvdLOMbSv #sysadmin #MSCloud #Azure @win…
cusspvz,"#finishing #up #coreos #manager #npm #module for #microsoft #azure at #povoadevarzim @ #porto,… https://t.co/gYhOfQn8N2"
PoseAPet,We are really enjoying @mantisbt 's #Tweet to #notify feature on #Azure @bizspark! #opensource http://t.co/V25bcfemdc
jeffjames3,RT @petri_co_il: New Petri Post! 'What is @Microsoft @Azure Stack?' (by @joe_elway) - http://t.co/LPvdLOMbSv #sysadmin #MSCloud #Azure @win…
petri_co_il,New Petri Post! 'What is @Microsoft @Azure Stack?' (by @joe_elway) - http://t.co/LPvdLOMbSv #sysadmin #MSCloud #Azure @windowsserver
CloudRank,$395 for a full year of cloud training. Ready to start? http://t.co/f6orzFTxRN #AWS #Cloud #Azure #DevOps #Learn http://t.co/dKdNa4vyzX
ChadiAouad,RT @MaximRouiller: Are you building a paid software for #Azure? Then you MUST read this by @mspnp https://t.co/YcMT5MS18U All about #multit…
joe_elway,New on @petri_co_il: Microsoft #Azure IaaS Announcements at Build and Ignite 2015 https://t.co/avIYk0OsRJ
ralpje,"Good point! #prepare """"@texmandie: Learn how to manage #Azure now so you'll be ready for #AzureStack in your data center later!"""""
marcodangelo,"How-to: Create a #Linux Virtual Machine, connect and manage it with SSH. #TrainITThursday cic.m... http://t.co/mEGJAs2GkQ #Azure"
zeevs,RT @nicktrog: Woot! @zend Z-Ray is now available for #Azure Web Apps. Great debugging extension for #php #webdevs http://t.co/q8zHQdmdxI
phmontarges,"RT @ste_vincent: #AzureCamp : @hleclerc &amp; @stephgou66 on stage to talk about #Docker on #Azure
#DevOps #OpenSource @AlterWay http://t.co/m…"
PresalesPNW,RT @MaximRouiller: Are you building a paid software for #Azure? Then you MUST read this by @mspnp https://t.co/YcMT5MS18U All about #multit…
MaximRouiller,Are you building a paid software for #Azure? Then you MUST read this by @mspnp https://t.co/YcMT5MS18U All about #multitenant management.
barracuda,Lookin' good! RT @jvhoof: We're ready for #TechDaysNL! Come visit us &amp; Learn about #azure @BarracudaEMEA @barracuda http://t.co/qTJGQamLxi
Clustermvp,RT @HassanFad: At World Forum Den Haag for #TechDaysNL as Speaker &amp; #ATE. #ALM #VSO #Azure #DevTools #FUN #MVPBuzz http://t.co/Q6j6CKOaB1
jdruid,Customized Renditions and Asset trimming with Dynamic Manifest http://t.co/31dwVuHfKZ #azure
proudboffin,RT @nicktrog: Woot! @zend Z-Ray is now available for #Azure Web Apps. Great debugging extension for #php #webdevs http://t.co/q8zHQdmdxI
npmulani,"“Microsoft only vendor in all Gartner MQ’s for #IaaS, #PaaS and Cloud Storage”  http://t.co/GmUPV6y7YP #GoDigital #Azure"
benmarks,RT @nicktrog: Woot! @zend Z-Ray is now available for #Azure Web Apps. Great debugging extension for #php #webdevs http://t.co/q8zHQdmdxI
jacobross85,"Going to be in San Jose for a hands on DevCamp at the Marriot tomorrow. If you're there too, feel free to say hello #Microsoft #Azure  #IoT"
zend,RT @nicktrog: Woot! @zend Z-Ray is now available for #Azure Web Apps. Great debugging extension for #php #webdevs http://t.co/q8zHQdmdxI
PeterSelchDahl,RT @CloudAppLaunch: How #Azure and @hogarthww got @DangeRussWilson’s website ready for Super Bowl Sunday: https://t.co/mlVCYJXjQp http://t.…
suxstellino,Query Store in @SQLServer 2016 is awesome! https://t.co/cQy3PPVIeD (it's available in #Azure SQL Database too http://t.co/KjcPLw17ez)
CloudAppLaunch,How #Azure and @hogarthww got @DangeRussWilson’s website ready for Super Bowl Sunday: https://t.co/mlVCYJXjQp http://t.co/n4nippKj9h
SharmaSaurabh81,RT @Azure: #Azure Table #Storage 101: Create a sample app &amp; explore HTTP REST calls to the backend Azure Storage API. http://t.co/4y0sqD1swG
zcaglar,RT @Azure: Choose a learning algorithm in #Azure #MachineLearning. Download the handy guide &amp; learn more: http://t.co/O9NR4o81HK
MSNZcloud,Customized Renditions and Asset trimming with Dynamic Manifest http://t.co/mJmmeTgBEJ #azure
martellaj,Follow @AzureSupport for all your #Azure supporting needs!  https://t.co/KHYzDRHeSz
Rootsector,RT @Basecomtec: Simplifying #Microsoft #Azure Deployments with #Cloud -Friendly #Security  #Cybersecure #rootsector #infosec #news  http://…
chrisgeorge4,RT @HOSTINGdotcom: Are you #AWS or #Azure user? Got 30 mins? Want $50 #Amazon gift card or donation to your favorite charity? Click here ht…
jeromepascua,RT @HOSTINGdotcom: Are you #AWS or #Azure user? Got 30 mins? Want $50 #Amazon gift card or donation to your favorite charity? Click here ht…
HOSTINGdotcom,Are you #AWS or #Azure user? Got 30 mins? Want $50 #Amazon gift card or donation to your favorite charity? Click here http://t.co/6BW3Ouerrt
nicktrog,Woot! @zend Z-Ray is now available for #Azure Web Apps. Great debugging extension for #php #webdevs http://t.co/q8zHQdmdxI
AXENusa,Microsoft’s big Azure announcement is a Cloud in a Box #CIO #IT #tech #Microsoft #Azure #cloud http://t.co/HzC8AHUAw9
clausasbjorn,"The #azure portal (the preview that is) didn't show web apps earlier today! Everything gone, my heart skipped a beat. They were there tho"
SOAzure,New RemoteDebugger Settings in Azure Preventing Build #azure http://t.co/Mbllf07qc8
SOAzure,How do I deploy an app with multiple components to Azure? #azure http://t.co/b9PLIb3B6s
SOAzure,Is the order that Azure AD applies group claims to a ClaimsPrincipal reliable? #azure http://t.co/yoigm0Yh1m
SOAzure,Why isn't my Azure Mobile Service accepting the bearer token ADAL.js is sending it? #azure http://t.co/yAYIivNIii
GFritchey,"I was working on a different article for @SQLMagazine on #azure, but that's on hold now so I can play with Query Store and write one on that"
arcadio_g_s,"Cloud messaging: Like #Azure Notification Hubs, but not available on Windows #io2015"
FizzyInTheHall,#io15 - Cloud Messaging - still not as good as #Azure Notification Bus #justsayin
GFritchey,@racecarphil It's here. the Query Store is live in #azure.
Jaxidian,RT @pilotbob: Why isn't my Azure Mobile Service accepting the bearer token ADAL.js is sending it? http://t.co/us5GLMkOjb #azure #azuremobil…
pilotbob,Why isn't my Azure Mobile Service accepting the bearer token ADAL.js is sending it? http://t.co/us5GLMkOjb #azure #azuremobileservices
ncockerh,"RT @paulcdale: Just completed a tour of the #Microsoft #Azure Data Centre in Dublin, truly amazing! The best description was ""Industrialise…"
SiavashFathi,"#Azure blog has a new post """"Customized Renditions and Asset trimming with Dynamic Manifest"""" http://t.co/O2HirVogrg"
GFritchey,WHOOOOPPPPP!!! New feature in #azure SQL Database v12 that I'm very excited about.
iamleonmallett,Customized Renditions and Asset trimming with Dynamic Manifest http://t.co/r8TFlurVKr #Azure #news
Karlitoz007,Customized Renditions and Asset trimming with Dynamic Manifest http://t.co/g5u3oeWRmW #Azure #Cloud http://t.co/NzHXFu6HsL
SiavashFathi,New post on developer tools blog Customized Renditions and Asset trimming with Dynamic Manifest http://t.co/O2HirVogrg #Azure #Dev #Visua…
sebmatthews,Customized Renditions and Asset trimming with Dynamic Manifest #azure http://t.co/nmSpMaFmbX
beckynagel,"Real-Life #Azure, Part 1: Setting Up the Environment -- Virtualization Review https://t.co/MciXQxN4Uz #cloud #howto"
